('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         765336 function calls (741322 primitive calls) in 8.082 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       99    0.001    0.000    0.004    0.000 typing.py:345(_remove_dups_flatten)
      776    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      206    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      535    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
       89    0.001    0.000    0.016    0.000 typing.py:1449(__getitem__)
      293    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      811    0.001    0.000    0.001    0.000 typing.py:1246(<genexpr>)
      364    0.001    0.000    0.001    0.000 element.py:2160(get)
      622    0.001    0.000    0.002    0.000 {built-in method from_bytes}
      273    0.001    0.000    0.002    0.000 css_parser.py:334(match)
      317    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      200    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      388    0.001    0.000    0.001    0.000 _compiler.py:570(isstring)
      223    0.001    0.000    0.002    0.000 typing.py:1178(__getattr__)
      601    0.001    0.000    0.001    0.000 ssl.py:1083(_checkClosed)
      293    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
      311    0.001    0.000    0.001    0.000 types.py:192(__init__)
      308    0.001    0.000    0.002    0.000 css_parser.py:238(css_unescape)
      511    0.001    0.000    0.001    0.000 enum.py:1129(__new__)
      306    0.001    0.000    0.002    0.000 {built-in method builtins.any}
      256    0.001    0.000    1.401    0.005 _client.py:152(__iter__)
      586    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
      256    0.001    0.000    1.398    0.005 http11.py:330(__iter__)
      391    0.001    0.000    0.001    0.000 typing.py:935(__eq__)
       86    0.001    0.000    0.002    0.000 _parser.py:274(getuntil)
      406    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:632(cached)
      256    0.001    0.000    1.399    0.005 connection_pool.py:401(__iter__)
      251    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
  212/149    0.001    0.000    0.002    0.000 typing.py:1573(__hash__)
      309    0.001    0.000    0.797    0.003 __init__.py:226(compile)
      256    0.001    0.000    1.400    0.005 default.py:125(__iter__)
  136/131    0.001    0.000    0.016    0.000 css_parser.py:385(freeze)
      193    0.001    0.000    0.001    0.000 typing.py:2310(get_origin)
      290    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
      390    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
       84    0.001    0.000    0.004    0.000 css_parser.py:798(parse_combinator)
      586    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
      342    0.001    0.000    0.009    0.000 typing.py:723(<genexpr>)
      194    0.001    0.000    0.001    0.000 _parser.py:231(__init__)
      122    0.001    0.000    0.008    0.000 _htmlparser.py:285(handle_comment)
      293    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
       27    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
       27    0.001    0.000    0.009    0.000 enum.py:528(__new__)
        1    0.001    0.001    0.014    0.014 _urlparse.py:1(<module>)
      613    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
      254    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:420(__exit__)
  201/195    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
       91    0.001    0.000    0.003    0.000 enum.py:1551(__or__)
      231    0.001    0.000    0.061    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      434    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      232    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      409    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
      293    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
       35    0.001    0.000    0.006    0.000 typing.py:1047(_generic_class_getitem)
      249    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
      261    0.001    0.000    0.001    0.000 _state.py:301(_fire_event_triggered_transitions)
      189    0.001    0.000    0.006    0.000 css_types.py:360(__init__)
      194    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
       70    0.001    0.000    0.002    0.000 typing.py:262(_collect_parameters)
      136    0.001    0.000    0.011    0.000 css_types.py:203(__init__)
       69    0.001    0.000    0.003    0.000 css_parser.py:532(parse_tag_pattern)
      233    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      200    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
       81    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
      257    0.001    0.000    0.001    0.000 _connection.py:248(_server_switch_event)
      233    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       45    0.001    0.000    0.003    0.000 typing.py:1096(_generic_init_subclass)
       13    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
       32    0.001    0.000    0.001    0.000 inspect.py:175(get_annotations)
      462    0.001    0.000    0.001    0.000 css_types.py:73(__hash__)
      459    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      188    0.001    0.000    0.002    0.000 typing_extensions.py:2976(_is_unpacked_typevartuple)
      194    0.001    0.000    0.001    0.000 _parser.py:953(fix_flags)
       24    0.001    0.000    0.001    0.000 <frozen abc>:146(update_abstractmethods)
      184    0.001    0.000    0.053    0.000 _parser.py:98(closegroup)
       17    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
      211    0.001    0.000    0.004    0.000 typing.py:1454(<genexpr>)
      201    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
      116    0.001    0.000    0.014    0.000 typing.py:1458(copy_with)
        8    0.000    0.000    0.001    0.000 typing.py:1966(__init_subclass__)
      249    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       88    0.000    0.000    0.001    0.000 ipaddress.py:1213(_parse_octet)
      106    0.000    0.000    0.001    0.000 dataclasses.py:864(_set_new_attribute)
     22/8    0.000    0.000    0.003    0.000 inspect.py:2470(_signature_from_callable)
       34    0.000    0.000    0.001    0.000 ipaddress.py:1651(_ip_int_from_string)
       22    0.000    0.000    0.001    0.000 util.py:16(lower)
