('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         755328 function calls (731086 primitive calls) in 5.923 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      161    0.000    0.000    0.001    0.000 enum.py:202(__get__)
        2    0.000    0.000    0.002    0.001 request.py:2505(getproxies_environment)
  136/131    0.000    0.000    0.005    0.000 css_parser.py:375(_freeze_relations)
       38    0.000    0.000    1.653    0.044 response.py:1151(_handle_chunk)
      198    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      215    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      334    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
       22    0.000    0.000    0.001    0.000 util.py:16(lower)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      152    0.000    0.000    0.001    0.000 <frozen os>:703(__iter__)
    42/30    0.000    0.000    0.060    0.002 css_parser.py:569(parse_pseudo_class)
       34    0.000    0.000    0.001    0.000 ipaddress.py:1651(_ip_int_from_string)
      263    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      260    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       64    0.000    0.000    0.002    0.000 typing.py:885(__init__)
      247    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        8    0.000    0.000    0.001    0.000 message.py:494(get)
       51    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      152    0.000    0.000    0.001    0.000 <frozen _collections_abc>:868(__iter__)
       55    0.000    0.000    0.001    0.000 ipaddress.py:533(_split_addr_prefix)
  133/115    0.000    0.000    0.001    0.000 typing.py:1258(__hash__)
      154    0.000    0.000    0.001    0.000 <frozen os>:766(decode)
       34    0.000    0.000    0.003    0.000 ipaddress.py:2238(__init__)
      169    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      311    0.000    0.000    0.000    0.000 css_parser.py:302(get_name)
      270    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
       38    0.000    0.000    0.015    0.000 response.py:469(_decode)
        6    0.000    0.000    0.007    0.001 typing.py:2780(__new__)
        1    0.000    0.000    0.001    0.001 quoprimime.py:1(<module>)
        4    0.000    0.000    0.003    0.001 feedparser.py:216(_parsegen)
       77    0.000    0.000    0.003    0.000 css_types.py:267(__init__)
        1    0.000    0.000    4.577    4.577 financial.py:7(get_operating_income_data)
      291    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
      232    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
    71/51    0.000    0.000    0.001    0.000 typing.py:1573(__hash__)
       50    0.000    0.000    0.002    0.000 ipaddress.py:1920(__init__)
       75    0.000    0.000    0.001    0.000 typing.py:1178(__getattr__)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       50    0.000    0.000    0.004    0.000 parser.py:123(set_cdata_mode)
        1    0.000    0.000    0.001    0.001 feedparser.py:469(_parse_headers)
        6    0.000    0.000    0.001    0.000 url.py:227(_encode_invalid_chars)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      215    0.000    0.000    0.000    0.000 _virtualenv.py:53(find_spec)
      126    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
       72    0.000    0.000    0.001    0.000 typing.py:2310(get_origin)
    66/35    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      218    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      217    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      126    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
       39    0.000    0.000    0.001    0.000 response.py:1133(_update_chunk_length)
       60    0.000    0.000    0.007    0.000 typing.py:1458(copy_with)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
       12    0.000    0.000    0.001    0.000 enum.py:1414(_missing_)
      127    0.000    0.000    0.002    0.000 typing.py:1454(<genexpr>)
      171    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.288    0.288 client.py:213(_read_headers)
      126    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
        8    0.000    0.000    0.001    0.000 <frozen _collections_abc>:974(update)
       57    0.000    0.000    0.007    0.000 _htmlparser.py:127(handle_startendtag)
       69    0.000    0.000    0.002    0.000 css_types.py:251(__init__)
      126    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
       54    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
      108    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       25    0.000    0.000    0.001    0.000 _policybase.py:301(header_source_parse)
      190    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      192    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       97    0.000    0.000    0.001    0.000 {built-in method builtins.all}
      126    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
    87/62    0.000    0.000    0.018    0.000 typing.py:508(__getitem__)
       98    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       25    0.000    0.000    0.000    0.000 _collections.py:300(add)
      165    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      155    0.000    0.000    0.000    0.000 enum.py:1292(value)
       43    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.003    0.003 typing_extensions.py:1(<module>)
      194    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
        3    0.000    0.000    0.040    0.013 utils.py:1(<module>)
       21    0.000    0.000    0.002    0.000 ipaddress.py:1502(__init__)
      110    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
    87/85    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       29    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
        4    0.000    0.000    0.000    0.000 message.py:529(get_all)
      192    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
        1    0.000    0.000    0.004    0.004 constant.py:1(<module>)
       46    0.000    0.000    0.000    0.000 ipaddress.py:1755(_parse_hextet)
       68    0.000    0.000    0.001    0.000 status_codes.py:116(doc)
